year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,THA,Thailand,TH,Amnat Charoen,TH37,95551,92132,187683,6041,6451,6851,5339,2994,3751,4556,6440,7588,7267,7697,7816,7193,5878,4022,2702,2965,6403,6824,7050,5918,3620,3966,4418,5990,7484,7438,7391,7503,6344,5040,2925,1913,1905,12444,13275,13901,11257,6614,7717,8974,12430,15072,14705,15088,15319,13537,10918,6947,4615,4870
2022,THA,Thailand,TH,Ang Thong,TH15,109504,96970,206474,5146,5269,5838,5089,4199,4961,5220,5678,7015,8610,9269,10018,8870,7641,6601,4428,5652,5353,5795,6105,5799,4725,5608,5249,5437,6658,7657,7558,7911,6958,5501,4634,2996,3026,10499,11064,11943,10888,8924,10569,10469,11115,13673,16267,16827,17929,15828,13142,11235,7424,8678
2022,THA,Thailand,TH,Bangkok,TH10,5750142,5471549,11221691,219147,213783,221496,307037,499178,587792,518119,478840,489841,451749,422999,377747,320155,232909,165159,101473,142718,224335,232758,235490,324265,464914,564399,519595,498754,494226,448272,402556,336294,266009,179250,129344,69996,81092,443482,446541,456986,631302,964092,1152191,1037714,977594,984067,900021,825555,714041,586164,412159,294503,171469,223810
2022,THA,Thailand,TH,Bueng Kan,TH38,147527,144017,291544,11148,11451,10591,7629,4832,6644,8384,10116,10824,11020,11532,11396,10447,8491,5334,3655,4033,11554,12061,11096,7908,5471,7113,8134,9676,10972,10507,10866,10883,9921,7473,4586,2793,3003,22702,23512,21687,15537,10303,13757,16518,19792,21796,21527,22398,22279,20368,15964,9920,6448,7036
2022,THA,Thailand,TH,Buri Ram,TH31,475551,445292,920843,33247,34671,34174,25389,15068,18064,22325,28574,33314,34877,35953,38445,37898,30624,21267,14383,17278,34572,36575,35795,26778,16861,18745,20981,25991,30929,32180,33109,34803,33509,26124,16994,10650,10696,67819,71246,69969,52167,31929,36809,43306,54565,64243,67057,69062,73248,71407,56748,38261,25033,27974
2022,THA,Thailand,TH,Chachoengsao,TH24,372952,361005,733957,19730,19604,19293,19429,20209,25352,24323,25224,28106,27995,28050,27805,25123,21030,15779,10524,15376,21346,20637,20886,21879,23000,28816,26131,24946,28251,27419,25674,24412,21280,17132,12574,7695,8927,41076,40241,40179,41308,43209,54168,50454,50170,56357,55414,53724,52217,46403,38162,28353,18219,24303
2022,THA,Thailand,TH,Chai Nat,TH18,115171,103013,218184,5532,5556,5593,5077,3659,4233,4697,5664,7584,9544,10328,11449,10252,8806,6981,4568,5648,5885,5762,5928,5741,4244,4664,4831,5431,6952,8498,8567,9349,8195,6837,5376,3366,3387,11417,11318,11521,10818,7903,8897,9528,11095,14536,18042,18895,20798,18447,15643,12357,7934,9035
2022,THA,Thailand,TH,Chaiyaphum,TH36,369898,347884,717782,22161,22449,22775,17478,11312,13756,16524,22414,28209,29130,31855,32789,32064,25091,17621,11358,12912,22437,23794,23713,19790,12982,14478,15837,20794,26680,27848,29243,29864,28098,21235,14401,8667,8023,44598,46243,46488,37268,24294,28234,32361,43208,54889,56978,61098,62653,60162,46326,32022,20025,20935
2022,THA,Thailand,TH,Chanthaburi,TH22,217156,210612,427768,12073,11836,11647,11844,11511,12401,12816,14632,16909,17608,17520,16978,14186,11591,9122,6231,8251,12525,12904,12589,12438,12579,13846,13282,14357,16437,17014,16236,15310,12729,10580,7732,4888,5166,24598,24740,24236,24282,24090,26247,26098,28989,33346,34622,33756,32288,26915,22171,16854,11119,13417
2022,THA,Thailand,TH,Chiang Mai,TH50,917483,881140,1798623,39565,42585,41799,57620,66475,58764,51965,50163,62457,78705,89506,81584,61548,41971,33728,27413,31635,41570,43462,44174,59829,70624,62956,53661,49499,58401,71078,81480,75142,56019,38301,28691,22933,23320,81135,86047,85973,117449,137099,121720,105626,99662,120858,149783,170986,156726,117567,80272,62419,50346,54955
2022,THA,Thailand,TH,Chiang Rai,TH57,537393,519319,1056712,27196,28678,29595,28143,23691,25799,25897,29527,39279,48623,55016,52099,39510,29718,21339,16184,17099,27568,29988,30943,30761,26257,27459,26851,29169,36290,45474,50809,48581,36968,26822,18764,13819,12796,54764,58666,60538,58904,49948,53258,52748,58696,75569,94097,105825,100680,76478,56540,40103,30003,29895
2022,THA,Thailand,TH,Chon Buri,TH20,1125257,1144336,2269593,20673,50983,52119,67330,96954,137732,113260,100203,95138,82015,72988,63523,59637,44153,28797,17866,21886,17766,44298,42941,53777,82274,127632,123483,116076,109569,94667,78880,65957,71721,62271,26598,13186,13240,38439,95281,95060,121107,179228,265364,236743,216279,204707,176682,151868,129480,131358,106424,55395,31052,35126
2022,THA,Thailand,TH,Chumphon,TH86,212304,217138,429442,12584,11821,12148,11319,11703,13822,13633,14947,16373,15975,15661,14481,13288,10967,8346,6486,8750,12846,12543,13062,13210,14370,16288,15678,15978,17910,16693,15639,13751,11799,9381,7358,5065,5567,25430,24364,25210,24529,26073,30110,29311,30925,34283,32668,31300,28232,25087,20348,15704,11551,14317
2022,THA,Thailand,TH,Kalasin,TH46,321114,304505,625619,19039,19885,20561,17204,10814,11986,14930,21233,26176,25747,26488,28208,27197,21767,13078,8174,8627,19850,21160,21532,18415,11932,12644,14266,19905,25677,25257,25341,25571,23603,18036,9746,6024,5546,38889,41045,42093,35619,22746,24630,29196,41138,51853,51004,51829,53779,50800,39803,22824,14198,14173
2022,THA,Thailand,TH,Kamphaeng Phet,TH62,428663,410871,839534,25232,25946,26072,22484,17238,19253,21750,25198,31744,35169,36892,37433,33227,25471,18819,12460,14275,26697,27895,27048,24052,19753,21323,21718,24856,30175,33463,33393,34496,29233,21786,16052,9765,9166,51929,53841,53120,46536,36991,40576,43468,50054,61919,68632,70285,71929,62460,47257,34871,22225,23441
2022,THA,Thailand,TH,Kanchanaburi,TH71,384568,377441,762009,22288,23728,23193,21294,20565,22897,22974,25580,29058,30292,32005,29730,25817,20184,14505,8996,11462,24048,25241,25089,23563,25721,25203,23837,25081,27520,28325,29628,27373,22563,17700,12189,7326,7034,46336,48969,48282,44857,46286,48100,46811,50661,56578,58617,61633,57103,48380,37884,26694,16322,18496
2022,THA,Thailand,TH,Khon Kaen,TH40,819888,770911,1590799,38680,41805,45084,52490,53151,41798,43488,52611,64142,63413,66202,66560,64966,51111,31949,20026,22412,45689,44264,47195,52978,51452,42142,41631,48794,60505,60152,60841,61378,56466,42547,25796,14552,14529,84369,86069,92279,105468,104603,83940,85119,101405,124647,123565,127043,127938,121432,93658,57745,34578,36941
2022,THA,Thailand,TH,Krabi,TH81,169359,170330,339689,12658,11918,10895,9612,10481,12883,12460,12792,12943,12419,11440,10308,8441,6650,5201,3595,4663,13345,12756,11452,10841,11705,13269,12036,12753,13443,12649,11064,9628,7789,6032,4718,3242,3608,26003,24674,22347,20453,22186,26152,24496,25545,26386,25068,22504,19936,16230,12682,9919,6837,8271
2022,THA,Thailand,TH,Lampang,TH52,305896,296658,602554,11839,12939,14886,14416,10329,10232,11978,16695,23263,29314,32525,31651,24736,19921,15438,11915,13819,12352,13361,15740,16182,12389,11695,12260,15751,21844,27886,31531,30674,23736,17833,13713,10132,9579,24191,26300,30626,30598,22718,21927,24238,32446,45107,57200,64056,62325,48472,37754,29151,22047,23398
2022,THA,Thailand,TH,Lamphun,TH51,188123,177674,365797,6678,7081,7517,8447,9783,14464,12091,10316,12911,16728,18958,18281,13748,10455,7617,5954,7094,7160,7180,7861,9138,10273,14579,11837,9951,12050,15427,16912,16401,12181,9562,6909,5133,5120,13838,14261,15378,17585,20056,29043,23928,20267,24961,32155,35870,34682,25929,20017,14526,11087,12214
2022,THA,Thailand,TH,Loei,TH42,211731,210619,422350,12299,12297,11945,11030,9086,9706,11220,13544,16788,17602,18511,17789,15725,12819,8295,5820,7255,13104,12839,12805,11840,9965,10578,11141,12891,17010,17450,18120,17325,15044,12245,7521,4925,5816,25403,25136,24750,22870,19051,20284,22361,26435,33798,35052,36631,35114,30769,25064,15816,10745,13071
2022,THA,Thailand,TH,Lop Buri,TH16,352214,346467,698681,17214,18696,19109,17766,15843,17649,18657,20777,26400,29928,30337,30340,26343,22272,16639,11129,13115,18855,20105,20592,19894,29278,20180,19239,19699,25079,27892,28074,26734,22392,17858,13215,8907,8474,36069,38801,39701,37660,45121,37829,37896,40476,51479,57820,58411,57074,48735,40130,29854,20036,21589
2022,THA,Thailand,TH,Mae Hong Son,TH58,88079,91957,180036,6284,7415,6987,5487,4563,5736,5465,5572,6280,6359,6177,6173,4722,3835,2725,1956,2343,6665,7863,7157,5691,5149,6005,5531,5628,6589,6832,6742,6209,4967,3960,2815,1880,2274,12949,15278,14144,11178,9712,11741,10996,11200,12869,13191,12919,12382,9689,7795,5540,3836,4617
2022,THA,Thailand,TH,Maha Sarakham,TH44,320005,295561,615566,16852,18140,19011,20494,17121,11179,14118,19713,24309,24186,25598,28260,28948,22319,13179,8355,8223,17802,19305,20066,19959,15901,11758,13478,18070,23083,23517,24480,25339,24451,18312,9760,5669,4611,34654,37445,39077,40453,33022,22937,27596,37783,47392,47703,50078,53599,53399,40631,22939,14024,12834
2022,THA,Thailand,TH,Mukdahan,TH49,182511,179232,361743,11697,12384,13296,10585,6865,8903,10295,12824,14681,14388,13931,13761,12867,9716,6676,4627,5015,12286,12695,13367,11276,7892,9736,10359,12600,15291,13986,13575,13201,11678,8732,5393,3433,3732,23983,25079,26663,21861,14757,18639,20654,25424,29972,28374,27506,26962,24545,18448,12069,8060,8747
2022,THA,Thailand,TH,Nakhon Nayok,TH26,113318,107000,220318,5632,5745,5694,7705,6132,5584,5693,6338,7790,8344,8608,9351,8340,7508,5683,3829,5342,6274,5918,6146,8406,7577,6472,6000,6180,7329,8009,7831,7868,6841,5738,4443,2893,3075,11906,11663,11840,16111,13709,12056,11693,12518,15119,16353,16439,17219,15181,13246,10126,6722,8417
2022,THA,Thailand,TH,Nakhon Pathom,TH73,532300,506386,1038686,24367,24242,25475,35283,36242,39201,38407,39290,42117,42772,41000,38473,32213,25135,18909,12269,16905,26119,26059,30064,38011,39617,41406,39873,38072,41152,39319,35772,32381,26049,19555,14584,8554,9799,50486,50301,55539,73294,75859,80607,78280,77362,83269,82091,76772,70854,58262,44690,33493,20823,26704
2022,THA,Thailand,TH,Nakhon Phanom,TH48,215720,203856,419576,14738,15769,15406,11429,7181,9061,11365,14382,16204,16162,16912,17494,16537,13323,8128,5477,6152,15170,16422,15995,12137,8290,9478,11070,13822,16010,15745,15602,15580,13953,10731,6022,3706,4123,29908,32191,31401,23566,15471,18539,22435,28204,32214,31907,32514,33074,30490,24054,14150,9183,10275
2022,THA,Thailand,TH,Nakhon Ratchasima,TH30,1181269,1134704,2315973,66926,67643,68304,67299,60704,62549,69037,75637,88339,90692,94338,90975,84412,68072,50657,32991,42694,71266,72372,73875,71838,69058,66902,69931,73562,87052,86419,86138,82797,73569,56714,41873,25214,26124,138192,140015,142179,139137,129762,129451,138968,149199,175391,177111,180476,173772,157981,124786,92530,58205,68818
2022,THA,Thailand,TH,Nakhon Sawan,TH60,407245,377927,785172,19877,20547,21241,20484,17527,18657,18957,22711,29192,34242,35805,36955,33017,26925,21100,13577,16431,21064,21666,22478,22528,19274,19767,19229,22144,27613,31850,31499,32068,27873,21763,16713,10285,10113,40941,42213,43719,43012,36801,38424,38186,44855,56805,66092,67304,69023,60890,48688,37813,23862,26544
2022,THA,Thailand,TH,Nakhon Si Thammarat,TH80,616177,591918,1208095,35653,35909,36100,33971,29127,31684,33880,39074,43041,44913,44679,45412,43801,39025,29033,21356,29519,37975,38941,39081,36950,34073,36184,35395,38953,43509,44313,41071,40216,36765,31705,23021,15809,17957,73628,74850,75181,70921,63200,67868,69275,78027,86550,89226,85750,85628,80566,70730,52054,37165,47476
2022,THA,Thailand,TH,Nan,TH55,194480,192941,387421,10439,10543,11850,9508,5612,6998,8246,10542,15613,18537,19633,18463,13891,12786,8577,6395,6847,11059,11097,12230,11161,7402,7844,7989,9873,14734,18293,19163,18510,13482,11665,7667,5537,5235,21498,21640,24080,20669,13014,14842,16235,20415,30347,36830,38796,36973,27373,24451,16244,11932,12082
2022,THA,Thailand,TH,Narathiwat,TH96,296687,293091,589778,24532,25971,24047,21015,19217,20722,17719,18115,19328,19666,16542,18114,16001,12784,10086,6105,6723,25544,27280,24874,22589,20657,21600,17445,17385,19351,19288,16116,17439,14722,10830,7661,5053,5257,50076,53251,48921,43604,39874,42322,35164,35500,38679,38954,32658,35553,30723,23614,17747,11158,11980
2022,THA,Thailand,TH,Nong Bua Lam Phu,TH39,217228,204745,421973,15018,15378,15284,11256,6798,8906,10920,13878,16664,16734,18019,18734,17476,13030,8152,5174,5807,15559,16622,15996,11913,7720,8790,9842,12436,16191,16037,16655,17256,14838,11151,6563,3684,3492,30577,32000,31280,23169,14518,17696,20762,26314,32855,32771,34674,35990,32314,24181,14715,8858,9299
2022,THA,Thailand,TH,Nong Khai,TH43,185477,173985,359462,11929,12842,13179,10037,6842,7809,9909,12239,14358,14489,15529,15024,13520,10943,7210,4704,4914,11848,13176,14134,10892,7150,7882,9181,11368,13648,13940,14064,13224,11888,9049,5500,3558,3483,23777,26018,27313,20929,13992,15691,19090,23607,28006,28429,29593,28248,25408,19992,12710,8262,8397
2022,THA,Thailand,TH,Nonthaburi,TH12,1082305,984181,2066486,39819,41084,43747,50329,63142,78790,80984,86803,95327,95548,90156,87071,78369,59538,39346,23039,29213,38773,39695,46186,54990,69740,80053,81844,77263,95894,88364,79911,63069,61958,44138,29548,18477,14278,78592,80779,89933,105319,132882,158843,162828,164066,191221,183912,170067,150140,140327,103676,68894,41516,43491
2022,THA,Thailand,TH,Pathum Thani,TH13,1343056,1271298,2614354,52683,52057,50260,84818,135605,142399,125664,117855,114898,100209,89252,80688,68637,52439,33122,19024,23446,55149,55561,53145,73709,120564,141403,122848,114186,117510,101014,84784,70331,57259,44228,28969,14971,15667,107832,107618,103405,158527,256169,283802,248512,232041,232408,201223,174036,151019,125896,96667,62091,33995,39113
